Name,Ticker,ISIN
Energa,ENG,PLENERG00022
ENERGOINS,ENI,PLERGIN00015
ENERGOPLD,EPD,PLENMPD00018
ENERGOPN,EPN,PLENMPN00017
ENTER AIR,ENT,PLENTER00017
ERBUD,ERB,PLERBUD00012
ERGIS,EGS,PLEUFLM00017
ESOTIQ,EAH,PLESTHN00018
ESSYSTEM,ESS,PLESSYS00030
ESTAR,EST,HU0000089198
EUCO,EUC,PLERPCO00017
EUIMPLANT,EUI,PLERPLT00017
EUROCASH,EUR,PLEURCH00011
EUROHOLD,EHG,BG1100114062
EUROMARK,EMK,PLERMRK00010
EUROTEL,ETL,PLERTEL00011
EVEREST INVESTMENTS,EVE,PLWDMCP00013
EXILLON,EXL,IM00B58FMW76
FAM,FAM,PLFAM0000012
FAMUR,FMF,PLFAMUR00012
FARMACOL,FCL,PLFRMCL00066
FASING,FSG,PLFSING00010
FASTFIN,FFI,PLFSTFC00012
FEERUM,FEE,PLFEERM00018
FENGHUA SOLETECH,FGT,DE000A13SX89
FERRO,FRO,PLFERRO00016
FERRUM,FER,PLFERUM00014
FINANCIAL ASSETS MANAGEMENT GR,FMG,PLTHP0000011
FON,FON,PLCASPL00019
FORTE,FTE,PLFORTE00012
FORTUNA,FEG,NL0009604859
FOTA,FOT,PLFOTA000014
GADUGADU,GGU,PLGADU000013
GANT,GNT,PLGANT000014
GEKOPLAST,GKP,PLGKPLS00019
GETBACK,GBK,PLGTBCK00297
GETIN,GTN,PLGSPR000014
GETINOBLE,GNB,PLGETBK00012
GINOROSSI,GRI,PLGNRSI00015
GLOBAL CITY HOLDINGS,GCH,NL0000687309
GLOBAL COSMED,GLC,PLGLBLC00011
GOBARTO,GOB,PLDUDA000016
GORENJE,GRV,SI0031104076
GPRD,GPR,NL0012235980
GPW,GPW,PLGPW0000017
GRAAL,GRL,PLGRAAL00022
GREENECO,GET,PLANTI000012
GREENTECH,GRT,PLINFNT00014
GREMI INWESTYCJE,GIW,PLERFKT00010
GROCLIN,GCN,PLINTGR00013
GRODNO,GRN,PLGRODN00015
GTC,GTC,PLGTC0000037
HANDLOWY,BHW,PLBH00000012
HARPER,HRP,PLHRPHG00023
HAWE,HWE,PLVENTS00019
HBPOLSKA,HBP,PLHDRWL00010
HELIO,HEL,PLHELIO00014
HERKULES,HRS,PLZRWZW00012
HOLLYWOOD,HLD,PLHOLWD00017
HTLSTREFA,HTL,PLHTLST00010
HUBSTYLE,HUB,PLGRNKT00019
HUTMEN,HTM,PLHUTMN00017
HYDROTOR,HDR,PLHDRTR00013
HYPERION,HYP,PLHPRON00017
I2 DEVELOPMENT,I2D,PLI2DVL00014
IALBATROS GROUP,IAG,PLADVPL00029
IBSM,IBS,PLPLPGR00010
IDEATFI,IDA,PLIDEAB00013
IDEON,IDE,PLCNTZP00010
IDMSAPL,IDM,PLIDMSA00044
IFCAPITAL,IFC,PLHRMAN00039
IFIRMA SA,IFI,PLPWRMD00011
IMCOMPANY,IMC,LU0607203980
IMMOBILE,GKI,PLMAKRM00019
IMMOEAST,IEA,AT0000642806
IMMOFINANZ AG,IIA,AT0000809058
IMPEL,IPL,PLIMPEL00011
IMPERA,IMP,PLNFI0700018
IMPEXMET,IPX,PLIMPXM00019
IMS,IMS,PLINTMS00019
INDATA SOFTWARE,IDT,PLTROMD00010
INDYGOTECH MINERALS,IDG,PLLSTIA00018
INDYKPOL,IND,PLINDKP00013
INGBSK,ING,PLBSK0000017
INPOINT,IPT,PLINPNT00013
INPRO,INP,PLINPRO00015
INSTALKRK,INK,PLINSTK00013
INTEGERPL,ITG,PLINTEG00011
INTERAOLT,IRL,LT0000128621
INTERCARS,CAR,PLINTCS00010
INTERFERIE,INF,PLINTFR00023
INTERMA TRADE S.A.,ITM,PLBRIJU00010
INTERSPPL,IPO,PLINTSP00038
INTROL,INL,PLINTRL00013
INVESTMENT FRIENDS,IFR,PLBDVR000018
INVISTA,INV,PLECMNG00019
INWESTCON,INC,PLINCLT00015
IPOPEMA,IPE,PLIPOPM00011
IQP,IQP,PLIQPRT00017
IVMX,IMX,PLMATRX00017
IZO-BLOK SPOLKA AKCYJNA,IZB,PLIZBLK00010
IZOLACJA,IZO,PLIZCJR00017
IZOSTAL,IZS,PLIZSTL00015
JAGO,JAG,PLJAGO000015
JCAUTO,JCA,PLJCAUT00045
JHMDEV,JHM,PLJHMDL00018
JJ AUTO AG,JJO,DE000A1TNS70
JSW,JSW,PLJSW0000015
JUPITER,JPR,PLNFI0300017
JWCONSTR,JWC,PLJWC0000019
JWW INVEST,JWW,PLJWWNT00018
K2INTERNT,K2I,PLK2ITR00010
KANIA,KAN,PLIZNS000022
KBDOM,KBD,PLTRAST00020
KCI,KCI,PLPONAR00012
KDMSHIPNG,KDM,CY0102492119
KERNEL,KER,LU0327357389
KETY,KTY,PLKETY000011
KGHM,KGH,PLKGHM000017
KINO POLSKA,KPL,PLKNOPL00014
KOFOLA,KFL,PLHOOP000010
KOFOLA CESKOSLOVENSKO,KOF,CZ0009000121
KOGENERA,KGN,PLKGNRC00015
KOMPAP,KMP,PLKOMPP00017
KOMPUTRON,KOM,PLKMPTR00012
KONSSTALI,KST,PLKCSTL00010
KOPEX,KPX,PLKOPEX00018
KORPORACJA KGL,KGL,PLKRKGL00012
KPPD,KPD,PLKPPD000017
KRAKCHEM,KCH,PLKRKCH00019
KREC,KRC,PLKRNRC00012
KREDYTIN,KRI,PLKRINK00014
KREZUS,KZS,PLNFI0200019
KRKA,KRK,SI0031102120
KROSNO,KRS,PLMRKHS00011
KRUK,KRU,PLKRK0000010
KRUSZWICA,KSW,PLKRUSZ00016
KRYNICA VITAMIN,KVT,PLKRVTM00010
KSGAGRO,KSG,LU0611262873
LABO PRINT,LAB,PLLBPRT00013
LARK.PL,LRK,PLPPWK000014
LARQ,LRQ,PLCAMMD00032
LCCORP,LCC,PLLCCRP00017
LDASA,LDS,PLLDAKC00012
LENA,LEN,PLLENAL00015
LENTEX,LTX,PLLENTX00010
LIBET,LBT,PLLBT0000013
LIVECHAT,LVC,PLLVTSF00010
LOKUM,LKD,PLLKMDW00049
LOTOS,LTS,PLLOTOS00025
LPP,LPP,PLLPP0000011
LSISOFT,LSI,PLLSSFT00016
LUBAWA,LBW,PLLUBAW00013
MABION,MAB,PLMBION00016
MAGELLAN,MAG,PLMGLAN00018
MAKARONPL,MAK,PLMKRNP00015
MANGATA HOLDING SA,MGT,PLZTKMA00017
MBWS,MBW,FR0000060873
MARVIPOL,MVP,PLMRVDV00011
MASTER PHARM,MPH,PLMSTPH00016
MAXCOM,MXC,PLMXCMS00016
MBANK,MBK,PLBRE0000012
MCI,MCI,PLMCIMG00012
MCLOGIC,MCL,PLMCSFT00018
MDI ENERGIA,MDI,PLNFI1000012
MEDIACAP,MCP,PLEMLAB00018
MEDIATEL,MTL,PLSMMDA00012
MEDICALG,MDG,PLMDCLG00015
MEGARON,MEG,PLMGRON00016
MENNICA,MNC,PLMNNCP00011
MERCATOR,MRC,PLMRCTR00015
MERCOR,MCR,PLMRCOR00016
MEXPOLSKA,MEX,PLMEXPL00010
MFO,MFO,PLMFO0000013
MIDAS,MDS,PLNFI0900014
MIESZKO,MSO,PLMSZKO00010
MILKILAND,MLK,NL0009508712
MILLENNIUM,MIL,PLBIG0000016
MIRACULUM,MIR,PLKLSTN00017
MIRBUD,MRB,PLMRBUD00015
MISPOL,MIP,PLMISPL00011
MLP GROUP,MLG,PLMLPGR00017
MNI,MNI,PLSZPTL00010
MOBRUK,MBR,PLMOBRK00013
MOJ,MOJ,PLMOJ0000015
MOL,MOL,HU0000153937
MONNARI,MON,PLMNRTR00012
MORIZON SPOLKA AKCYJNA,MZN,PLMORZN00016
MOSTALPLC,MSP,PLMSTPL00018
MOSTALWAR,MSW,PLMSTWS00019
MOSTALZAB,MSZ,PLMSTZB00018
MUZA,MZA,PLMUZA000019
MWTRADE,MWT,PLMWTRD00013
NAFTOBUDOWA,NFT,PLNFTBD00010
NANOGROUP,NNG,PLNNGRP00011
NEPENTES,NEP,PLNPNTS00012
NETIA,NET,PLNETIA00014
NETMEDIA,NEM,PLNTMDA00018
NEUCA,NEU,PLTRFRM00018
NEWAG,NWG,PLNEWAG00012
NEWWORLDR,NWR,GB00B42CTW68
NFIEMF,EMF,PLNFI1500011
NORDEABP,NDA,PLBKMNL00018
NORTCOAST,NCT,PLNRTHC00014
NOVAKBM,KBM,SI0021104052
NOVITA,NVT,PLNVITA00018
NOVITUS,NVS,PLNOVTS00018
NOWAGALA,CNG,PLCRMNG00029
NTTSYSTEM,NTT,PLNTSYS00013
ODLEWNIE,ODL,PLODLPL00013
OEX SA,OEX,PLTELL000023
OLYMPIC,OEG,EE3100084021
ONE2ONE,O2O,PLONE0000014
OPENFINANCE,OPF,PLOPNFN00010
OPOCZNO,OPO,PLOPCZN00011
OPONEO.PL,OPN,PLOPNPL00013
OPTEAM,OPM,PLOPTEM00012
ORANGEPL,OPL,PLTLKPL00017
ORBIS,ORB,PLORBIS00014
ORCOGROUP,OPG,LU0122624777
ORIONINV,ORN,PLORION00018
ORZBIALY,OBL,PLORZBL00013
ORZEL,ORZ,PLORZL000019
OT LOGISTICS,OTS,PLODRTS00017
OTMUCHOW,OTM,PLZPCOT00018
Ovostar Union,OVO,NL0009805613
PAGED,PGD,PLPAGED00017
PAMAPOL,PMP,PLPMPOL00031
PANOVA,NVA,PLPANVA00013
PATENTUS,PAT,PLPTNTS00019
PBG,PBG,PLPBG0000029
PBOANIOLA,PBO,PLPBONL00013
PBSFINANSE,PBF,PLBEFSN00010
PCCEXOL,PCX,PLPCCEX00010
PCCINTER,PCI,PLPCCIM00014
PCGUARD,PCG,PLGUARD00019
PCM,PCM,PLPRMCM00048
PEGAS,PGS,LU0275164910
PEIXIN,PEX,NL0010577052
PEKABEX,PBX,PLPKBEX00072
PEKAES,PEK,PLPEKAS00017
PEKAO,PEO,PLPEKAO00016
Pelion,PEL,PLMEDCS00015
PEMUG,PMG,PLPEMUG00016
PEP,PEP,PLPLSEP00013
PEPEES,PPS,PLPEPES00018
PERMEDIA,PMD,PLPERMD00019
PETROLINV,OIL,PLPTRLI00018
PFLEIDERER GROUP S.A.,PFL,PLZPW0000017
PGE,PGE,PLPGER000010
PGNIG,PGN,PLPGNIG00014
PGODLEW,PGO,PLPGO0000014
PGSSOFT,PSW,PLSFTWR00015
PHN,PHN,PLPHN0000014
PINOTCARO,PCR,PLPCCRK00076
PKNORLEN,PKN,PLPKN0000018
PKOBP,PKO,PLPKO0000016
PKP Cargo,PKP,PLPKPCR00011
PLASTBOX,PLX,PLPSTBX00016
PLATYNOWE INWESTYCJE,PIW,PLADDRG00015
PLAY COMMUNICATIONS,PLY,LU1642887738
PLAYWAY,PLW,PLPLAYW00015
PLAZACNTR,PLZ,NL0011882741
POINTGROUP,PGM,PLPEKPL00010
POLAQUA,PQA,PLPAQUA00018
POLCOLOR,PLT,PLPCLRT00029
POLICE,PCE,PLZCPLC00036
POLIMEXMS,PXM,PLMSTSD00019
POLJADLO,PLJ,PLGKPJD00015
POLLENAE,PLE,PLFKPEW00018
POLMED,POM,PLPOLMD00011
POLNA,PLA,PLPOLNA00015
POLNORD,PND,PLPOLND00019
POLREST,POL,PLPREST00012
POLSKI BANK KOMOREK MACIERZYST,BKM,PLPBKM000012
POLWAX,PWX,PLPOLWX00026
POZBUD,POZ,PLPZBDT00013
PRAGMAFA,PRF,PLGFPRE00040
PRAGMAINK,PRI,PLPRGNK00017
PRAIRIE MINING LIMITED,PDZ,AU000000PDZ2
PRATERM,PTM,PLPRTRM00017
PRIMAMODA,PMA,PLPRMMD00012
PRIVATE EQUITY MANAGERS,PEM,PLPREQM00011
PROCAD,PRD,PLPRCAD00018
PROCHEM,PRM,PLPRCHM00014
PROCHNIK,PRC,PLPRCHK00018
PROJPRZEM,PJP,PLPROJP00018
PROKOM,PKM,PLPROKM00013
PROSPER,PSP,PLPRSPR00046
PROTEKTOR,PRT,PLLZPSK00019
PROVIDENT,IPF,GB00B1YKG049
PUE,PUE,PLZPUE000012
PULAWY,ZAP,PLZAPUL00057
PZU,PZU,PLPZU0000011
QUANTUM,QNT,PLQNTUM00018
QUERCUS,QRS,PLQRCUS00012
QUMAK,QMK,PLQMKSK00017
R22,R22,PLR220000018
RADPOL,RDL,PLRDPOL00010
RAFAKO,RFK,PLRAFAK00018
RAFAMET,RAF,PLRFMET00016
RAINBOW,RBW,PLRNBWT00031
RANKPROGR,RNK,PLRNKPR00014
RAWLPLUG,RWL,PLKLNR000017
REDAN,RDN,PLREDAN00019
REDWOOD HOLDING,RWD,PLCMPLX00014
REGNON,REG,PLPRNTC00017
REINHOLD,RHD,SE0001856519
RELPOL,RLP,PLRELPL00014
REMAK,RMK,PLREMAK00016
RESBUD,RES,PLRESBD00016
ROBYG,ROB,PLROBYG00016
RONSON,RON,NL0006106007
ROPCZYCE,RPC,PLROPCE00017
ROVESE,RSE,PLCRSNT00011
RUBICON,RBC,PLNFI0500012
RUCH,RCH,PLRUCH000014 
SADOVAYA,SGR,LU0564351582
SANOK,SNK,PLSTLSK00016
SANWIL,SNW,PLSANWL00012
SARE SPOLKA AKCYJNA,SAR,PLSARE000013
SCOPAK,SCO,PLSCOPK00012
SECOGROUP,SWG,PLWRWCK00013
SEKO,SEK,PLSEKO000014
SELENAFM,SEL,PLSELNA00010
SELVITA,SLV,PLSELVT00013
SERINUS,SEN,CA81752K1057
SETANTA,SET,PLSNTFG00017
SFINKS,SFS,PLSFNKS00011
SILVANO,SFG,EE3100001751
SIMPLE,SME,PLSIMPL00011
SKARBIEC HOLDING,SKH,PLSKRBH00014
SKOTAN,SKT,PLSKTAN00010
SKYEUROPE,SKY,AT0000497003
SKYLINE,SKL,PLSKLNW00011
SLEEPZ AG,SLZ,DE000A2E3772
SNIEZKA,SKA,PLSNZKA00033
SOHO DEVELOPMENT,SHD,PLNFI0400015
SOLAR,SOL,PLSLRCP00021
SONEL,SON,PLSONEL00011
SOPHARMA,SPH,BG11SOSOBT18
SPRAY,SPY,PLSPRAY00010
STALEXP,STX,PLSTLEX00019
STALPROD,STP,PLSTLPD00017
STALPROFI,STF,PLSTLPF00012
STAPORKOW,ZUK,PLSTPRK00019
STARHEDGE,SHG,PLHRDEX00021
STELMET,STL,PLSTLMT00010
SUNEX,SNX,PLSUNEX00013
SUWARY,SUW,PLSUWAR00014
SWIECIE,MSC,PLCELZA00018
SWISSMED,SWD,PLSWMED00013
SYGNITY,SGN,PLCMPLD00016
SYNEKTIK,SNT,PLSNKTK00019
SYNTHOS,SNS,PLDWORY00019
TALANX,TNX,DE000TLX1005
TALEX,TLX,PLTALEX00017
TARCZYNSKI,TAR,PLTRCZN00016
TATRY,TMR,SK1120010287
TAURONPE,TPE,PLTAURN00011
TECHMEX,TEX,PLTECMX00011
TERESA,TER,PLPTMED00015
TERMOREX,TRR,PLTRMRX00011
TESGAS,TSG,PLTSGS000019
TETA,TET,PLTETA000010
TFONE,TFO,PLTFONE00011
TIM,TIM,PLTIM0000016
TOPMEDICAL,TPM,PLPTIW000014
TORPOL,TOR,PLTORPL00016
TOWER INVESTMENTS,TOW,PLTWRNV00013
TOYA,TOA,PLTOYA000011
TRAKCJA,TRK,PLTRKPL00014
TRANSPOL,TRN,PLTRNSP00013
TRAVELPL,TVL,PLTRVPL00011
TRITON,TRI,PLASMOT00030
TUEUROPA,ERP,PLEUROP00019
TVN,TVN,PLTVN0000017
TXM,TXM,PLTXM0000015
ULMA,ULM,PLBAUMA00017
UNIBEP,UNI,PLUNBEP00015
UNICREDIT,UCG,IT0005239360
UNIMA,U2K,PLUNMST00014
UNIMOT,UNT,PLUNMOT00013
UNIWHEELS AG,UNW,DE000A13STW4
URSUS,URS,PLPMWRM00012
VANTAGE,VTG,PLVTGDL00010
VENTUREIN,VTI,PLVNTIN00011
VIGO SYSTEM,VGO,PLVIGOS00015
VINDEXUS,VIN,PLVNDEX00013
VISTAL GDYNIA,VTL,PLVTLGD00010
VISTULA,VST,PLVSTLA00011
VIVID GAMES,VVD,PLVVDGM00014
VOTUM,VOT,PLVOTUM00016
VOXEL,VOX,PLVOXEL00014
W INVESTMENTS,WIS,PLARIEL00046
WADEX,WAX,PLWADEX00018
WANDALEX,WDX,PLWNDLX00024
WARIMPEX,WXF,AT0000827209
WASKO,WAS,PLHOGA000041
WAWEL,WWL,PLWAWEL00013
WIELTON,WLT,PLWELTN00012
WIKANA,WIK,PLELPO000016
WILBO,WLB,PLWILBO00019
WIRTUALNA POLSKA HOLDING,WPL,PLWRTPL00027
WISTIL,WST,PLWSTIL00012
WITTCHEN,WTN,PLWTCHN00030
WOJAS,WOJ,PLWOJAS00014
WOLAINFO,WIN,PLWLINF00012
WORKSERV,WSE,PLWRKSR00019
WSIP,WSP,PLWSIP000015
XTB,XTB,PLXTRDM00011
YAWAL,YWL,PLYAWAL00058
YOLO S.A.,YOL,PLPRESC00018
ZAMET,ZMT,PLZAMET00010
ZASTAL,ZST,PLZSTAL00012
ZE PAK,ZEP,PLZEPAK00012
ZEG,ZEG,PLZEG0000014
ZELMER,ZLR,PLZELMR00011
ZNTKLAPY,ZNT,PLZNTK000019
ZREMB,ZRE,PLZBMZC00019
ZTSERG,ERG,PLERGZB00014
ZUE,ZUE,PLZUE0000015
ZYWIEC,ZWC,PLZYWIC00016
